MID	NAME	ID1	ID2	ID3	PARTY1	PARTY2	PARTY3	PARTY1N	PARTY2N	PARTY3N	GMP12	X12	Y12	CLA12_O	X12_O	Y12_O	GMP22	X22	Y22	CLA22_O	X22_O	Y22_O	GMP32	X32	Y32	CLA32_O	X32_O	Y32_O	DIM1PL	DIM2PL	CLA_PO	X_PO	Y_PO	SCAL7121	SCAL7122	SCAL7111	SCAL7112	SCALE781	SCALE782	SCALE751	SCALE752	SCALE741	SCALE742	SCA7101	SCA7102	SCA7103	SCA731	SCA732	SCA771	SCA772	SCA761	SCA762	SCA791	SCA792	MORICE
11	"Anbry"	22			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.942	.704	-.71	.979	.4592088	-.8146416													-.136	-.823	.985	.082	-.123																						
12	"Andre"	8			"PRL"	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.788	.337	.942	.973	.1089648	1.33871													-.326	.427	.977	.021	-.314														3	2							
13	"Andre A."		3	5	"Not seated"	"Radical-Soc."	"Radical-Soc."	"Not seated"	"Radical"	"Radical"							.786	.62	.784	.953	.271776	.2796053	.772	.46	-.171	.935	-.1456672	-.07432	-.792	-.421	.844	.005	-.549					1	0														0	"favor school aid"	0
14	"Andre P."		4	6	"Not seated"	"Rep. Indep."	"IPAS"	"Not seated"	"Right"	"Right"							.78	.782	-.286	.894	.694944	-.1167763	.832	.907	-.114	.956	.5707776	-.497944	-.182	.539	.896	.014	-.248									0	2								4	3			
15	"Angeletti"	9			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.986	-.812	-.584	1	-.7497816	-.479964													.324	.208	1	.501	.31																						
16	"Angibaul"			7	"Not seated"	"Not seated"	"MRP"	"Not seated"	"Not Seated"	"Christian Democrat"													.909	.619	.72	.981	.304712	.2645792	-.531	-.05	.987	.029	-.51																						
17	"Ansart"			8	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.991	-.842	-.54	1	-1.208443	-.5009168	.766	0	1	.253	.826																						
18	"Anthonioz"		5	9	"Not seated"	"Rep. Indep."	"IPAS"	"Not seated"	"Right"	"Right"							.882	.887	.122	.963	.558144	.0010965	.863	.864	.169	.985	.5707776	-.1991776	-.366	.391	.962	.033	-.355									1	0								1	2			
19	"Antier"	10	6	10	"Act. Pays Soc."	"Ind. Paysan"	"Paysan"	"Right"	"Right"	"Right"	.799	.388	.724	.959	.285384	.9547392	.741	.77	-.229	.883	.322848	-.0794956	.776	.845	-.395	.914	.2943072	-.8086016	-.355	.361	.878	.003	-.343									0	2												
20	"Anxionna"			11	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.773	.383	.015	.95	-.1055344	.1233712	.156	-.086	.871	.006	.066																				0	"favor school aid"	0
